Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
8.55639,16.0807,195.357,16.0811,8.55657,1.07505E-5,-1.74846E-7,942.478,0.0,0.0,0.0,0.0,0.0,1
8.55639,16.0807,195.357,16.0811,8.55657,1.07505E-5,-1.74846E-7,942.478,0.0,0.0,0.0,0.0,0.0,1
8.55639,16.0807,195.357,16.0811,8.55657,1.07505E-5,-1.74846E-7,942.478,0.0,0.0,0.0,0.0,0.0,1
8.55639,16.0807,195.357,16.0811,8.55657,1.07505E-5,-1.74846E-7,942.478,0.0,0.0,0.0,0.0,0.0,1
8.5564,16.0808,195.357,16.0811,8.55656,9.71014E-6,-1.74846E-7,942.478,-0.0538309,-4.89488E-9,0.6000000238418579,0.0,0.0,1
8.55665,16.0788,194.958,16.083,8.55631,-1.35942E-4,-9.74496E-5,942.478,1.37734,3.68997E-5,1.0,0.0,0.0,1
8.55654,16.0779,194.786,16.084,8.55642,-1.55362E-4,-1.25106E-4,942.478,3.06436,9.44832E-4,1.0,0.0,0.0,1
8.55537,16.0751,194.544,16.0867,8.5576,-4.57764E-5,-1.47518E-4,942.478,5.22609,7.79673E-4,1.0,0.0,0.0,1
8.55692,16.0779,194.332,16.084,8.55605,-2.36511E-4,-1.55624E-4,942.478,7.2865,4.0902E-4,1.0,0.0,0.0,1
8.55481,16.0734,193.996,16.0884,8.55816,-1.16175E-5,-1.7422E-4,1151.41,9.00709,5.92624E-5,1.0,0.0,0.0,1
8.55693,16.0781,193.856,16.0838,8.55603,-2.28448E-4,-1.47994E-4,1369.54,10.8488,6.55014E-4,1.0,0.0,0.0,1
8.5549,16.0736,193.388,16.0883,8.55806,-2.4102E-5,-1.75174E-4,1589.81,12.774,-7.53625E-5,1.0,0.0,0.0,1
8.55607,16.076,192.986,16.0859,8.55689,-1.5042E-4,-1.66591E-4,1862.08,15.212,-2.6718E-4,1.0,0.0,0.0,1
8.55485,16.0739,192.447,16.088,8.55812,1.73395E-6,-1.58962E-4,2139.64,17.7791,-1.45141E-4,1.0,0.0,0.0,1
8.55644,16.077,191.966,16.0849,8.55652,-1.78337E-4,-1.53716E-4,2418.36,20.0256,5.8614E-5,1.0,0.0,0.0,1
8.55473,16.0737,191.208,16.0882,8.55824,1.75129E-5,-1.57531E-4,2820.47,23.1564,7.25012E-5,1.0,0.0,0.0,1
8.55471,16.0737,190.455,16.0882,8.55826,2.05473E-5,-1.57054E-4,3271.95,26.4912,-4.54122E-5,1.0,0.0,0.0,1
8.55497,16.0741,189.588,16.0877,8.55799,-1.4045E-5,-1.59438E-4,3837.21,30.208,-3.49989E-6,1.0,0.0,0.0,1
8.55492,16.074,188.602,16.0878,8.55804,-6.50233E-6,-1.58962E-4,4778.94,34.4064,1.5841E-5,1.0,0.0,0.0,1
8.55396,16.0711,187.325,16.0907,8.559,5.32324E-5,-2.02354E-4,3374.67,36.6019,-1.5E-4,1.0,0.0,0.0,2
8.55479,16.0727,186.221,16.0891,8.55817,-4.36956E-5,-2.01877E-4,2765.01,36.9305,-7.5921E-5,1.0,0.0,0.0,2
8.55585,16.0746,185.075,16.0873,8.55711,-1.71575E-4,-2.05692E-4,2905.38,38.8932,-2.76635E-5,1.0,0.0,0.0,2
8.5538,16.0708,183.836,16.0911,8.55916,6.92714E-5,-2.04738E-4,3066.62,40.9501,5.7878E-5,1.0,0.0,0.0,2
8.55577,16.0745,182.586,16.0873,8.55719,-1.5883E-4,-2.02831E-4,3234.26,43.1124,2.14738E-5,1.0,0.0,0.0,2
8.55321,16.0697,181.202,16.0922,8.55976,1.40277E-4,-2.03784E-4,3408.13,45.3638,-5.45317E-5,1.0,0.0,0.0,2
8.5545,16.0721,179.802,16.0898,8.55847,-1.30047E-5,-2.05215E-4,3589.88,47.7045,-2.10979E-5,1.0,0.0,0.0,2
8.55298,16.0693,177.68,16.0926,8.55999,1.66633E-4,-2.03784E-4,3858.1,51.1392,-5.08114E-5,1.0,0.0,0.0,2
8.55159,16.0666,176.06,16.0952,8.56137,3.27544E-4,-2.05215E-4,4060.1,53.7106,-2.04614E-5,1.0,0.0,0.0,2
8.55295,16.0692,174.404,16.0927,8.56001,1.68974E-4,-2.04261E-4,4270.43,56.3838,4.79111E-5,1.0,0.0,0.0,2
8.5504,16.0644,172.616,16.0974,8.56256,4.68167E-4,-2.03307E-4,4487.17,59.1446,1.92499E-5,1.0,0.0,0.0,2
8.55042,16.0632,170.773,16.0976,8.56255,4.66087E-4,-2.03784E-4,4711.66,61.9904,-4.52248E-5,1.0,0.0,0.0,2
8.55031,16.0597,168.837,16.1008,8.56265,4.77011E-4,-2.04738E-4,4944.17,64.9241,-1.87573E-5,1.0,0.0,0.0,2
8.54849,16.0502,166.792,16.1116,8.56447,6.90374E-4,-2.04261E-4,5185.14,67.9485,4.2014E-5,1.0,0.0,0.0,2
8.54828,16.0409,164.675,16.1231,8.56468,7.15863E-4,-2.03307E-4,5430.49,71.0579,1.82042E-5,1.0,0.0,0.0,2
8.54867,16.0257,162.469,16.1385,8.56432,6.80663E-4,-2.03784E-4,5680.77,74.2314,-3.9783E-5,1.0,0.0,0.0,2
8.54421,16.0015,160.128,16.1627,8.56864,9.14487E-4,-2.04738E-4,5936.74,77.4691,-1.8359E-5,1.0,0.0,0.0,2
8.53894,15.972,157.711,16.1925,8.57347,0.00101393,-2.04261E-4,6198.54,80.772,3.7549E-5,1.0,0.0,0.0,3
8.53058,15.9369,155.289,16.2291,8.58286,0.00128729,-5.3757E-4,4503.46,80.8472,4.02863E-4,1.0,0.0,0.0,3
8.51887,15.8939,152.809,16.2735,8.59421,0.00173118,-0.00124806,4505.22,81.9371,9.07547E-5,1.0,0.0,0.0,3
8.50733,15.8506,150.309,16.3212,8.60618,0.00221946,-0.00200575,4614.81,83.9607,7.44328E-6,1.0,0.0,0.0,3
8.4904,15.8007,148.203,16.3753,8.62397,0.00332919,-0.0026471,4708.82,85.5979,-1.65144E-5,1.0,0.0,0.0,3
8.46661,15.7248,145.059,16.4566,8.64872,0.00488281,-0.00368183,4848.06,88.0914,2.64711E-5,1.0,0.0,0.0,3
8.43647,15.6438,142.299,16.5473,8.67904,0.00723544,-0.00461548,4965.81,90.2017,-5.41085E-5,1.0,0.0,0.0,3
8.40619,15.5592,139.539,16.642,8.7107,0.00954368,-0.00562256,5085.36,92.3419,-2.33139E-5,1.0,0.0,0.0,3
8.36544,15.4526,136.658,16.7634,8.75242,0.013006,-0.00671261,5206.79,94.5122,6.04395E-5,1.0,0.0,0.0,3
8.32201,15.3371,133.762,16.8947,8.7983,0.016646,-0.00789755,5329.09,96.7101,3.10144E-5,1.0,0.0,0.0,3
8.26747,15.1995,130.745,17.0585,8.85563,0.0215288,-0.00919216,5452.26,98.9274,-5.1188E-5,1.0,0.0,0.0,3
8.20777,15.0487,127.711,17.2415,8.91899,0.0268333,-0.0106298,5576.46,101.164,-1.75294E-5,1.0,0.0,0.0,3
8.13503,14.8688,124.561,17.4648,8.99651,0.0335138,-0.0122215,5701.71,103.419,6.89337E-5,1.0,0.0,0.0,3
8.05451,14.67,121.39,17.7232,9.08354,0.0409268,-0.0139987,5827.98,105.693,3.92548E-5,1.0,0.0,0.0,3
7.95814,14.4344,118.104,18.0439,9.18964,0.0500044,-0.0160024,5955.36,107.987,-4.69579E-5,1.0,0.0,0.0,3
7.84945,14.1674,114.788,18.439,9.31068,0.060214,-0.0183212,6083.72,110.299,-1.25118E-5,1.0,0.0,0.0,4
7.72576,13.8604,111.338,18.9496,9.45083,0.071733,-0.0210683,4722.38,110.236,-0.0024061,1.0,0.0,0.0,4
