Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
7.41949,7.53772,7.90096,8.57037,9.67679,11.4915,14.651,21.0867,39.7604,200.0,21.9907,10.6218,7.17461,5.56612,4.66771,4.12893,3.8064,3.63373,3.58057,-0.348988,0.00372106,1721.34,13.9231,7.89775E-4,5774.7,15.5981,0.0,1.0,0.0,0.0,1
7.42316,7.54024,7.90198,8.56921,9.67194,11.478,14.6325,21.0603,39.7113,200.0,22.0499,10.6508,7.18251,5.56761,4.66685,4.12706,3.8037,3.63049,3.5769,-0.349665,0.00280506,2083.37,17.2484,-5.7415E-5,5775.39,16.293,0.0,1.0,0.0,0.0,1
7.42719,7.54236,7.90191,8.56571,9.66228,11.4575,14.6063,21.0224,39.6394,200.0,22.1355,10.6919,7.19846,5.57267,4.66775,4.12598,3.80151,3.62732,3.57281,-0.350397,0.00151235,2593.95,21.4704,1.8595E-4,5776.36,17.2598,0.0,1.0,0.0,0.0,1
7.42542,7.53827,7.89473,8.55392,9.64181,11.428,14.5687,20.9682,39.5365,200.0,22.2584,10.7509,7.23216,5.58903,4.6776,4.13222,3.80579,3.63025,3.57458,-0.350075,-2.19043E-4,3210.63,26.0314,-5.71187E-5,5777.42,18.3164,0.0,1.0,0.0,0.0,1
7.42493,7.53479,7.88716,8.53993,9.61768,11.3987,14.5313,20.9144,39.435,200.0,22.3799,10.8095,7.2713,5.60899,4.68836,4.13872,3.8095,3.63208,3.57507,-0.349987,-0.00231188,4077.03,31.5308,3.5021E-5,5778.7,19.5981,0.0,1.0,0.0,0.0,1
7.41852,7.52396,7.87023,8.51362,9.58519,11.3602,14.4821,20.8435,39.3004,200.0,22.5403,10.8869,7.32319,5.64646,4.71206,4.15469,3.82112,3.6409,3.58167,-0.348799,-0.00548237,6502.57,38.0493,-2.39155E-4,5780.25,21.1475,0.0,1.0,0.0,0.0,2
7.40463,7.50394,7.84211,8.48044,9.54771,11.3156,14.4249,20.7601,39.1381,200.0,22.7298,10.9765,7.38307,5.69247,4.74928,4.18325,3.84299,3.6582,3.59586,-0.346241,-0.00958842,2805.01,38.6326,-1.24406E-5,5781.97,22.873,0.0,1.0,0.0,0.0,2
7.38293,7.47604,7.81162,8.44748,9.51061,11.2716,14.3688,20.6794,38.9862,200.0,22.9122,11.0645,7.44232,5.73816,4.7874,4.21683,3.87292,3.68439,3.61829,-0.342202,-0.0149738,3115.65,41.6103,-2.24183E-5,5783.76,24.6655,0.0,1.0,0.0,0.0,2
7.39063,7.48319,7.81868,8.45461,9.51794,11.2793,14.3764,20.6849,38.9682,200.0,22.9057,11.0509,7.43089,5.72843,4.77879,4.20893,3.86543,3.67707,3.61083,-0.343572,-0.0162551,3367.03,44.8249,-2.26327E-5,1.73615,26.7341,0.0,1.0,0.0,0.0,2
7.35864,7.4508,7.78484,8.41801,9.47675,11.2304,14.3142,20.5954,38.7996,200.0,23.1086,11.1488,7.49671,5.77918,4.82112,4.24621,3.89968,3.70965,3.64282,-0.337757,-0.016255,3630.76,48.2299,-2.4924E-5,3.80402,28.802,0.0,1.0,0.0,0.0,2
7.31957,7.41124,7.74351,8.37332,9.42644,11.1708,14.2382,20.486,38.5936,200.0,23.3564,11.2684,7.57711,5.84116,4.87282,4.29175,3.9415,3.74943,3.68188,-0.330655,-0.0162548,3913.09,51.8344,-2.68618E-5,6.02765,31.0256,0.0,1.0,0.0,0.0,2
7.2805,7.37169,7.70218,8.32863,9.37613,11.1112,14.1622,20.3767,38.3877,200.0,23.6042,11.388,7.65751,5.90314,4.92453,4.33729,3.98332,3.78921,3.72095,-0.323553,-0.0162547,4213.05,55.6514,-2.85367E-5,8.41613,33.4141,0.0,1.0,0.0,0.0,2
7.24144,7.33213,7.66085,8.28394,9.32581,11.0516,14.0863,20.2673,38.1817,200.0,23.8521,11.5075,7.73791,5.96511,4.97623,4.38283,4.02514,3.829,3.76002,-0.316451,-0.0162546,4528.23,59.6645,-3.31397E-5,10.9788,35.9768,0.0,1.0,0.0,0.0,2
7.19529,7.2854,7.61203,8.23115,9.26638,10.9811,13.9965,20.1382,37.9384,200.0,24.1448,11.6488,7.83288,6.03833,5.03731,4.43662,4.07455,3.87599,3.80617,-0.308061,-0.0162545,4860.6,63.859,-3.36456E-5,13.7239,38.7219,0.0,1.0,0.0,0.0,2
7.14645,7.23596,7.56036,8.17528,9.20349,10.9066,13.9015,20.0015,37.6809,200.0,24.4546,11.7982,7.93337,6.1158,5.10194,4.49355,4.12682,3.92572,3.855,-0.299183,-0.0162544,5208.78,68.2445,-3.7515E-5,16.6594,41.6574,0.0,1.0,0.0,0.0,2
7.09762,7.18651,7.5087,8.11942,9.1406,10.8321,13.8065,19.8648,37.4234,200.0,24.7644,11.9477,8.03387,6.19327,5.16657,4.55047,4.1791,3.97545,3.90384,-0.290305,-0.0162544,5568.04,72.8022,-4.36267E-5,19.7942,44.7922,0.0,1.0,0.0,0.0,2
