Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Accelerate,Brake,Steering,Gear
7.8639,11.6588,42.3318,200.0,19.6733,5.57413,3.87305,-0.333474,0.020933,1.51503,0.00551419,1.0,0.0,0.0,1
7.86454,11.658,42.2938,200.0,19.6886,5.5736,3.87195,-0.333696,0.0207389,2.63855,0.0156389,1.0,0.0,0.0,1
7.86644,11.6604,42.2921,200.0,19.6854,5.57095,3.87,-0.334051,0.0206955,3.79012,-0.00544576,1.0,0.0,0.0,1
7.86799,11.6622,42.287,200.0,19.6845,5.56882,3.86816,-0.334362,0.0206402,4.53313,6.27534E-5,1.0,0.0,0.0,1
7.87142,11.6665,42.2928,200.0,19.6735,5.56431,3.86499,-0.334939,0.020604,5.66859,0.00177966,1.0,0.0,0.0,1
7.8753,11.6715,42.2932,200.0,19.6638,5.55845,3.86084,-0.335649,0.0205348,6.80498,-5.30733E-5,1.0,0.0,0.0,1
7.87984,11.677,42.2883,200.0,19.6557,5.55272,3.85632,-0.33647,0.020428,7.94776,-0.00105568,1.0,0.0,0.0,1
7.88318,11.6807,42.2786,200.0,19.6549,5.54787,3.85271,-0.337114,0.0203231,9.13603,-0.00160259,1.0,0.0,0.0,1
7.88493,11.6819,42.2572,200.0,19.6643,5.54569,3.85093,-0.337469,0.0202072,10.3772,-8.08811E-4,1.0,0.0,0.0,1
7.88754,11.6845,42.2453,200.0,19.6683,5.54248,3.84801,-0.337935,0.0201238,11.5997,0.00213162,1.0,0.0,0.0,1
7.89051,11.6873,42.2204,200.0,19.6789,5.53837,3.84465,-0.338556,0.019966,12.8564,0.00111608,1.0,0.0,0.0,1
7.89433,11.6905,42.1974,200.0,19.6872,5.53333,3.84087,-0.339289,0.0198033,14.1506,-5.02385E-4,1.0,0.0,0.0,1
7.89888,11.6954,42.1769,200.0,19.6917,5.52715,3.83582,-0.340177,0.0196365,15.5008,-2.07415E-5,1.0,0.0,0.0,1
7.90441,11.7004,42.1565,200.0,19.6972,5.51985,3.8302,-0.341198,0.0194314,16.8827,3.26017E-4,1.0,0.0,0.0,1
7.91045,11.7067,42.1332,200.0,19.703,5.51151,3.82373,-0.342352,0.0191978,18.3089,1.31614E-4,1.0,0.0,0.0,1
7.91736,11.7137,42.111,200.0,19.7099,5.50232,3.81653,-0.343661,0.0189531,19.8411,-5.68519E-5,1.0,0.0,0.0,1
7.92481,11.7215,42.0922,200.0,19.7151,5.49225,3.80861,-0.345059,0.0187076,21.4388,-5.20876E-5,1.0,0.0,0.0,1
7.93266,11.7297,42.0735,200.0,19.7217,5.48183,3.8006,-0.346524,0.0184458,23.0696,1.35108E-4,1.0,0.0,0.0,1
7.9413,11.7384,42.0536,200.0,19.7303,5.47028,3.79154,-0.348122,0.0181668,24.8361,-1.41893E-4,1.0,0.0,0.0,1
7.94813,11.7447,42.0239,200.0,19.7532,5.46102,3.78424,-0.349476,0.0178798,26.6851,-6.45263E-5,1.0,0.0,0.0,1
7.95407,11.7496,41.9847,200.0,19.7901,5.45325,3.77747,-0.350697,0.0175255,28.674,2.46782E-5,1.0,0.0,0.0,1
